,index,Date,Round,Game number,Venue,Home Team,Away Team,Home team score,Away team score,Home team score detail,Away team score detail,Winning team,Margin,Year stage,day,month,year,time,HomeCode,AwayCode,Pos_home,P_home,W_home,D_home,L_home,For_home,Agn_home,Max_home,Min_home,Home_W_home,Home_D_home,Home_L_home,Away_W_home,Away_D_home,Away_L_home,Stk_home,Pts_home,%_home,Stkn_home,Stkd_home,Pos_away,P_away,W_away,D_away,L_away,For_away,Agn_away,Max_away,Min_away,Home_W_away,Home_D_away,Home_L_away,Away_W_away,Away_D_away,Away_L_away,Stk_away,Pts_away,%_away,Stkn_away,Stkd_away,target
0,9,2022-03-24 18:20:00,2,1,Docklands,Western Bulldogs,Carlton,90,102,"[4, 1, 7, 3, 11, 5, 13, 12]","[5, 2, 12, 4, 14, 5, 16, 6]",Carlton,12,Early season,24,03,2022,18:20:00,07,03,17.0,1.0,0.0,0.0,1.0,71,97,71.0,71.0,0.0,0.0,0.0,0.0,0.0,1.0,1L,0.0,73.2,-1.0,L,5.0,1.0,1.0,0.0,0.0,101,76,101.0,101.0,1.0,0.0,0.0,0.0,0.0,0.0,1W,4.0,132.89,1.0,W,0
1,10,2022-03-25 18:50:00,2,2,S.C.G.,Sydney,Geelong,107,77,"[4, 3, 11, 3, 15, 4, 17, 5]","[2, 4, 6, 7, 8, 13, 10, 17]",Sydney,30,Early season,25,03,2022,18:50:00,16,09,6.0,1.0,1.0,0.0,0.0,112,92,112.0,112.0,0.0,0.0,0.0,1.0,0.0,0.0,1W,4.0,121.74,1.0,W,1.0,1.0,1.0,0.0,0.0,138,72,138.0,138.0,1.0,0.0,0.0,0.0,0.0,0.0,1W,4.0,191.67,1.0,W,1
2,11,2022-03-26 12:45:00,2,3,M.C.G.,Collingwood,Adelaide,100,58,"[5, 3, 7, 5, 14, 7, 15, 10]","[1, 5, 3, 6, 7, 6, 8, 10]",Collingwood,42,Early season,26,03,2022,12:45:00,04,01,7.0,1.0,1.0,0.0,0.0,102,85,102.0,102.0,0.0,0.0,0.0,1.0,0.0,0.0,1W,4.0,120.0,1.0,W,10.0,1.0,0.0,0.0,1.0,82,83,82.0,82.0,0.0,0.0,1.0,0.0,0.0,0.0,1L,0.0,98.8,-1.0,L,1
3,12,2022-03-26 15:35:00,2,4,Docklands,Essendon,Brisbane Lions,75,97,"[4, 5, 5, 9, 8, 13, 10, 15]","[1, 1, 7, 2, 13, 5, 15, 7]",Brisbane Lions,22,Early season,26,03,2022,15:35:00,05,19,18.0,1.0,0.0,0.0,1.0,72,138,72.0,72.0,0.0,0.0,0.0,0.0,0.0,1.0,1L,0.0,52.17,-1.0,L,8.0,1.0,1.0,0.0,0.0,80,69,80.0,80.0,1.0,0.0,0.0,0.0,0.0,0.0,1W,4.0,115.94,1.0,W,0
4,13,2022-03-26 18:40:00,2,5,Adelaide Oval,Port Adelaide,Hawthorn,56,120,"[0, 3, 3, 6, 7, 10, 7, 14]","[3, 2, 8, 4, 14, 4, 19, 6]",Hawthorn,64,Early season,26,03,2022,18:40:00,13,10,11.0,1.0,0.0,0.0,1.0,69,80,69.0,69.0,0.0,0.0,0.0,0.0,0.0,1.0,1L,0.0,86.25,-1.0,L,3.0,1.0,1.0,0.0,0.0,78,58,78.0,78.0,1.0,0.0,0.0,0.0,0.0,0.0,1W,4.0,134.48,1.0,W,0
5,14,2022-03-26 19:00:00,2,6,Carrara,Gold Coast,Melbourne,69,82,"[2, 3, 6, 5, 8, 7, 10, 9]","[3, 1, 9, 1, 12, 5, 12, 10]",Melbourne,13,Early season,26,03,2022,19:00:00,20,11,4.0,1.0,1.0,0.0,0.0,107,80,107.0,107.0,0.0,0.0,0.0,1.0,0.0,0.0,1W,4.0,133.75,1.0,W,2.0,1.0,1.0,0.0,0.0,97,71,97.0,97.0,1.0,0.0,0.0,0.0,0.0,0.0,1W,4.0,136.62,1.0,W,0
6,15,2022-03-27 12:10:00,2,7,Docklands,North Melbourne,West Coast,74,59,"[3, 3, 6, 10, 8, 11, 10, 14]","[2, 3, 4, 4, 6, 6, 8, 11]",North Melbourne,15,Early season,27,03,2022,12:10:00,12,18,16.0,1.0,0.0,0.0,1.0,58,78,58.0,58.0,0.0,0.0,0.0,0.0,0.0,1.0,1L,0.0,74.36,-1.0,L,15.0,1.0,0.0,0.0,1.0,80,107,80.0,80.0,0.0,0.0,1.0,0.0,0.0,0.0,1L,0.0,74.77,-1.0,L,1
7,16,2022-03-27 14:20:00,2,8,M.C.G.,Richmond,Greater Western Sydney,109,73,"[1, 5, 7, 7, 11, 9, 16, 13]","[1, 2, 4, 5, 7, 9, 10, 13]",Richmond,36,Early season,27,03,2022,14:20:00,14,21,14.0,1.0,0.0,0.0,1.0,76,101,76.0,76.0,0.0,0.0,0.0,0.0,0.0,1.0,1L,0.0,75.25,-1.0,L,13.0,1.0,0.0,0.0,1.0,92,112,92.0,92.0,0.0,0.0,1.0,0.0,0.0,0.0,1L,0.0,82.14,-1.0,L,1
8,17,2022-03-27 17:20:00,2,9,Perth Stadium,Fremantle,St Kilda,55,65,"[3, 0, 5, 1, 6, 4, 8, 7]","[0, 4, 2, 7, 8, 10, 9, 11]",St Kilda,10,Early season,27,03,2022,17:20:00,08,15,9.0,1.0,1.0,0.0,0.0,83,82,83.0,83.0,0.0,0.0,0.0,1.0,0.0,0.0,1W,4.0,101.22,1.0,W,12.0,1.0,0.0,0.0,1.0,85,102,85.0,85.0,0.0,0.0,1.0,0.0,0.0,0.0,1L,0.0,83.33,-1.0,L,0
9,18,2022-03-31 18:20:00,3,1,Docklands,Western Bulldogs,Sydney,71,60,"[3, 3, 4, 10, 6, 15, 9, 17]","[1, 3, 1, 3, 5, 3, 9, 6]",Western Bulldogs,11,Early season,31,03,2022,18:20:00,07,16,13.0,2.0,0.0,0.0,2.0,161,199,90.0,71.0,0.0,0.0,1.0,0.0,0.0,1.0,2L,0.0,80.9,-2.0,L,3.0,2.0,2.0,0.0,0.0,219,169,112.0,107.0,1.0,0.0,0.0,1.0,0.0,0.0,2W,8.0,129.59,2.0,W,1
